,Element,Latitude,Longitude,Radius,Opacity,Time,Color
74,L1,18.969611,4.788837,368.37209302325584,0.19999999999999998,0:00:37,#C1FE20
75,I1,19.015384,4.758968,0,0,0:00:37,#FFFFFF
76,L1,18.969611,4.788837,0,0,0:00:38,#FFFFFF
77,I1,19.015384,4.758968,552.5581395348837,0.14,0:00:38,#FC766AFF
78,L1,18.969611,4.788837,429.7674418604651,0.18,0:00:39,#C1FE20
79,I1,19.015384,4.758968,0,0,0:00:39,#FFFFFF
80,L1,18.969611,4.788837,0,0,0:00:40,#FFFFFF
81,I1,19.015384,4.758968,0.0,0.32,0:00:40,#C1FE20
82,L1,18.969611,4.788837,491.16279069767444,0.16,0:00:41,#C1FE20
83,I1,19.015384,4.758968,0,0,0:00:41,#FFFFFF
84,L1,18.969611,4.788837,0,0,0:00:42,#FFFFFF
85,I1,19.015384,4.758968,61.395348837209305,0.3,0:00:42,#C1FE20
86,L1,18.969611,4.788837,552.5581395348837,0.14,0:00:43,#C1FE20
87,I1,19.015384,4.758968,0,0,0:00:43,#FFFFFF
88,L1,18.969611,4.788837,0,0,0:00:44,#FFFFFF
89,I1,19.015384,4.758968,122.79069767441861,0.27999999999999997,0:00:44,#C1FE20
90,L1,18.969611,4.788837,613.953488372093,0.12000000000000001,0:00:45,#C1FE20
91,I1,19.015384,4.758968,0,0,0:00:45,#FFFFFF
92,L1,18.969611,4.788837,0,0,0:00:46,#FFFFFF
93,I1,19.015384,4.758968,184.18604651162792,0.25999999999999995,0:00:46,#C1FE20
94,L1,18.969611,4.788837,675.3488372093024,0.1,0:00:47,#C1FE20
95,I1,19.015384,4.758968,0,0,0:00:47,#FFFFFF
96,L1,18.969611,4.788837,0,0,0:00:48,#FFFFFF
97,I1,19.015384,4.758968,245.58139534883722,0.23999999999999996,0:00:48,#C1FE20
98,L1,18.969611,4.788837,736.7441860465117,0.08,0:00:49,#C1FE20
99,I1,19.015384,4.758968,0,0,0:00:49,#FFFFFF
100,L1,18.969611,4.788837,0,0,0:00:50,#FFFFFF
